Component,LibID,Pin,PinFunction,ExpectedConnection,ActualConnection,Status
U9,ChainAxe:USBLC6-2SC6,1,I/O1,USB_DP_CONN,USB_DP_CONN,PASS
U9,ChainAxe:USBLC6-2SC6,2,GND,GND,GND,PASS
U9,ChainAxe:USBLC6-2SC6,3,I/O2,USB_DN_CONN,USB_DN_CONN,PASS
U9,ChainAxe:USBLC6-2SC6,4,I/O2,USB_DN_PROT,USB_DN_PROT,PASS
U9,ChainAxe:USBLC6-2SC6,5,VBUS,USB_VBUS,USB_VBUS,PASS
U9,ChainAxe:USBLC6-2SC6,6,I/O1,USB_DP_PROT,USB_DP_PROT,PASS
U10,ChainAxe:TPD4E05U06,1,D1+,HB_SDA,HB_SDA,PASS
U10,ChainAxe:TPD4E05U06,2,D1-,HB_SCL,HB_SCL,PASS
U10,ChainAxe:TPD4E05U06,3,GND,GND,GND,PASS
U10,ChainAxe:TPD4E05U06,4,D2+,HB_PLUG,HB_PLUG,PASS
U10,ChainAxe:TPD4E05U06,5,D2-,HB_A2,HB_A2,PASS
U10,ChainAxe:TPD4E05U06,6,NC,NC,NC,PASS
U10,ChainAxe:TPD4E05U06,7,NC,NC,NC,PASS
U10,ChainAxe:TPD4E05U06,8,GND,GND,GND,PASS
U10,ChainAxe:TPD4E05U06,9,NC,NC,NC,PASS
U10,ChainAxe:TPD4E05U06,10,NC,NC,NC,PASS
U11,ChainAxe:TPD4E05U06,1,D1+,HB_A1,HB_A1,PASS
U11,ChainAxe:TPD4E05U06,2,D1-,HB_A0,HB_A0,PASS
U11,ChainAxe:TPD4E05U06,3,GND,GND,GND,PASS
U11,ChainAxe:TPD4E05U06,4,D2+,HB_TX,HB_TX,PASS
U11,ChainAxe:TPD4E05U06,5,D2-,HB_RX,HB_RX,PASS
U11,ChainAxe:TPD4E05U06,6,NC,NC,NC,PASS
U11,ChainAxe:TPD4E05U06,7,NC,NC,NC,PASS
U11,ChainAxe:TPD4E05U06,8,GND,GND,GND,PASS
U11,ChainAxe:TPD4E05U06,9,NC,NC,NC,PASS
U11,ChainAxe:TPD4E05U06,10,NC,NC,NC,PASS
U12,ChainAxe:SN74LVC1G125,1,OE_N,HB_RESET_OE_N,HB_RESET_OE_N,PASS
U12,ChainAxe:SN74LVC1G125,2,A,HB_RESET_CMD,HB_RESET_CMD,PASS
U12,ChainAxe:SN74LVC1G125,3,GND,GND,GND,PASS
U12,ChainAxe:SN74LVC1G125,4,Y,HB_RESET_DRV,HB_RESET_DRV,PASS
U12,ChainAxe:SN74LVC1G125,5,VCC,HB_3V3,HB_3V3,PASS
U13,ChainAxe:TPD4E05U06,1,D1+,HB_RESET,HB_RESET,PASS
U13,ChainAxe:TPD4E05U06,2,D1-,NC,NC,PASS
U13,ChainAxe:TPD4E05U06,3,GND,GND,GND,PASS
U13,ChainAxe:TPD4E05U06,4,D2+,NC,NC,PASS
U13,ChainAxe:TPD4E05U06,5,D2-,NC,NC,PASS
U13,ChainAxe:TPD4E05U06,6,NC,NC,NC,PASS
U13,ChainAxe:TPD4E05U06,7,NC,NC,NC,PASS
U13,ChainAxe:TPD4E05U06,8,GND,GND,GND,PASS
U13,ChainAxe:TPD4E05U06,9,NC,NC,NC,PASS
U13,ChainAxe:TPD4E05U06,10,NC,NC,NC,PASS
ZD1,ChainAxe:BZX84C12LT1G,1,A,FAN_RPP_GATE,FAN_RPP_GATE,PASS
ZD1,ChainAxe:BZX84C12LT1G,2,NC,NC,NC,PASS
ZD1,ChainAxe:BZX84C12LT1G,3,K,FAN_12V,FAN_12V,PASS
